,hs2,hs2_name
0,01,Live animals.
1,02,Meat and edible meat offal.
2,03,Fish and crustaceans  molluscs and other aquatic invertebrates.
3,04,Dairy produce; birds' eggs; natural honey; edible products of animal origin  not elsewhere specified or included.
4,05,Products of animal origin  not elsewhere specified or included.
5,06,Live trees and other plants; bulbs  roots and the like; cut flowers and ornamental foliage.
6,07,Edible vegetables and certain roots and tubers.
7,08,Edible fruit and nuts; peel of citrus fruit or melons.
8,09,Coffee  tea  mate and spices.
9,10,Cereals.
10,11,Products of the milling industry; malt; starches; inulin; wheat gluten.
11,12,Oil seeds and oleaginous fruits; miscellaneous grains  seeds and fruit; industrial or medicinal plants; straw and fodder.
12,13,Lac; gums  resins and other vegetable saps and extracts.
13,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included.
14,15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes.
15,16,Preparations of meat  of fish or of crustaceans  molluscs or other aquatic invertebrates.
16,17,Sugars and sugar confectionery.
17,18,Cocoa and cocoa preparations.
18,19,Preparations of cereals  flour  starch or milk; pastrycooks' products.
19,20,Preparations of vegetables  fruit  nuts or other parts of plants.
20,21,Miscellaneous edible preparations.
21,22,Beverages  spirits and vinegar.
22,23,Residues and waste from the food industries; prepared animal fodder.
23,24,Tobacco and manufactured tobacco substitutes.
24,25,Salt; sulphur; earths and stone; plastering materials  lime and cement.
25,26,Ores  slag and ash.
26,27,Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral waxes.
27,28,Inorganic chemicals; organic or inorganic compounds of precious metals  of rare-earth metals  of radioactive elements or of isotopes.
28,29,Organic chemicals.
29,30,Pharmaceutical products.
30,31,Fertilisers.
31,32,Tanning or dyeing extracts; tannins and their derivatives; dyes  pigments and other colouring matter; paints and varnishes; putty and other mastics; inks.
32,33,Essential oils and resinoids; perfumery  cosmetic or toilet preparations.
33,34,Soap  organic surface-active agents  washing preparations  lubricating preparations  artificial waxes  prepared waxes  polishing or scouring preparations  candles and similar articles  modelling pastes  dental waxes and dental preparations with a basis of plaster.
34,35,Albuminoidal substances; modified starches; glues; enzymes.
35,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations.
36,37,Photographic or cinematographic goods.
37,38,Miscellaneous chemical products.
38,39,Plastics and articles thereof.
39,40,Rubber and articles thereof.
40,41,Raw hides and skins (other than furskins) and leather.
41,42,Articles of leather; saddlery and harness; travel goods  handbags and similar containers; articles of animal gut (other than silk-worm gut).
42,43,Furskins and artificial fur; manufactures thereof.
43,44,Wood and articles of wood; wood charcoal.
44,45,Cork and articles of cork.
45,46,Manufactures of straw  of esparto or of other plaiting materials; basketware and wickerwork.
46,47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard.
47,48,Paper and paperboard; articles of paper pulp  of paper or of paperboard.
48,49,Printed books  newspapers  pictures and other products of the printing industry; manuscripts  typescripts and plans.
49,50,Silk.
50,51,Wool  fine or coarse animal hair; horsehair yarn and woven fabric.
51,52,Cotton.
52,53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn.
53,54,Man-made filaments; strip and the like of man-made textile materials.
54,55,Man-made staple fibres.
55,56,Wadding  felt and nonwovens; special yarns; twine  cordage  ropes and cables and articles thereof.
56,57,Carpets and other textile floor coverings.
57,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery.
58,59,Impregnated  coated  covered or laminated textile fabrics; textile articles of a kind suitable for industrial use.
59,60,Knitted or crocheted fabrics.
60,61,Articles of apparel and clothing accessories  knitted or crocheted.
61,62,Articles of apparel and clothing accessories  not knitted or crocheted.
62,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.
63,64,Footwear  gaiters and the like; parts of such articles.
64,65,Headgear and parts thereof.
65,66,Umbrellas  sun umbrellas  walking-sticks  seat-sticks  whips  riding-crops and parts thereof.
66,67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair.
67,68,Articles of stone  plaster  cement  asbestos  mica or similar materials.
68,69,Ceramic products.
69,70,Glass and glassware.
70,71,Natural or cultured pearls  precious or semi-precious stones  precious metals  metals clad with precious metal and articles thereof; imitation jewellery; coin.
71,72,Iron and steel.
72,73,Articles of iron or steel.
73,74,Copper and articles thereof.
74,75,Nickel and articles thereof.
75,76,Aluminium and articles thereof.
76,77,(Reserved for possible future use in the Harmonized System)
77,78,Lead and articles thereof.
78,79,Zinc and articles thereof.
79,80,Tin and articles thereof.
80,81,Other base metals; cermets; articles thereof.
81,82,Tools  implements  cutlery  spoons and forks  of base metal; parts thereof of base metal.
82,83,Miscellaneous articles of base metal.
83,84,Machines
84,85,Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.
85,86,Railway or tramway locomotives  rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds.
86,87,Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.
87,88,Aircraft  spacecraft  and parts thereof.
88,89,Ships  boats and floating structures.
89,90,Optical  photographic  cinematographic  measuring  checking  precision  medical or surgical instruments and apparatus; parts and accessories thereof.
90,91,Clocks and watches and parts thereof.
91,92,Musical instruments; parts and accessories of such articles.
92,93,Arms and ammunition; parts and accessories thereof.
93,94,Furniture; bedding  mattresses  mattress supports  cushions and similar stuffed furnishings; lamps and lighting fittings  not elsewhere specified or included; illuminated signs  illuminated name-plates and the like; prefabricated buildings.
94,95,Toys  games and sports requisites; parts and accessories thereof.
95,96,Miscellaneous manufactured articles.
96,97,Works of art  collectors' pieces and antiques.
97,,
98,00,dummy
